customer_id,name,age,email,phone,country,amount,order_date,status,duplicate_flag
1051,Eve,29,bob@mail.com,9876543210,India,378.21,10/20/2023,Completed,0
1092,,43,wrong_format,,USA,203.88,2024/15/01,,0
1014,,63,wrong_format,9876543210,USA,947.17,2024/25/03,,1
1071,Eve,51,user@domain,,,562.4,10/10/2023,,1
1060,,66,user@domain,,UK,753.22,2025/15/01,Failed,1
1020,Eve,31,,9876543210,USA,735.31,10/20/2023,Failed,0
1082,,43,,12345,UK,289.61,10/20/2013,,1
1086,Charlie,62,bob@mail.com,12345,,549.4,2020/22/01,Completed,0
1074,David,44,bob@mail.com,,India,370.06,,Completed,0
1074,Bob,26,alice@mail.com,9876543210,,,10/20/2023,Pending,1
1087,Charlie,43,,12345,UK,403.41,not_a_date,,1
1099,Eve,64,wrong_format,9876543210,USA,319.23,not_a_date,,0
1023,,39,,9876543210,UK,556.99,2019/17/04,,1
1002,Alice,64,wrong_format,9876543210,USA,524.99,,Pending,1
1021,Eve,,user@domain,phone123,UK,27.77,9/11/2015,,0
1052,,47,,9876543210,USA,759.91,,,1
1001,David,60,user@domain,phone123,,617.34,11/20/2023,Pending,0
1087,Eve,65,bob@mail.com,,USA,646.25,10/22/2016,Completed,0
1029,,34,bob@mail.com,12345,USA,363.1,10/20/2023,,1
1037,Alice,43,alice@mail.com,12345,India,134.99,10/20/2023,Pending,0
1001,,53,,12345,USA,194.86,not_a_date,Failed,0
1063,,18,user@domain,12345,India,756.57,not_a_date,Completed,1
1059,,25,wrong_format,12345,,897.99,5/7/2014,Failed,1
1020,David,66,bob@mail.com,12345,India,27.77,,Completed,1
1032,Eve,52,bob@mail.com,12345,,194.86,10/20/2023,,0
1075,David,69,wrong_format,,India,457.18,18/20/2023,,0
1057,Bob,32,user@domain,9876543210,,524.99,,,1
1021,Bob,64,user@domain,9999999999,,103.1,,Failed,0
1088,Eve,,,phone123,UK,134.99,12/2/2022,Completed,1
1048,,39,,9999999999,UK,453.13,,,1
1090,David,31,alice@mail.com,9999999999,India,759.91,10/20/2023,Pending,0
1058,Alice,43,bob@mail.com,9876543210,India,283.68,2/20/2023,,1
1041,,45,,9876543210,,947.17,10/20/2023,Pending,0
1091,,40,user@domain,9876543210,,hundred,10/30/2023,Completed,0
1059,Eve,31,wrong_format,12345,USA,617.34,10/20/2023,,1
1079,,41,user@domain,,,968.08,2024/15/01,,0
1014,Bob,19,bob@mail.com,12345,USA,663.03,10/20/2023,Completed,1
1061,Bob,62,user@domain,,,378.21,2024/15/01,,0
1061,,43,alice@mail.com,,India,43.05,10/20/2023,Pending,0
1046,Eve,31,bob@mail.com,9999999999,,753.22,not_a_date,,0
1061,David,,wrong_format,9999999999,,760.84,not_a_date,Failed,1
1050,Bob,68,alice@mail.com,,,822.17,not_a_date,,0
1054,David,24,bob@mail.com,,,43.05,not_a_date,Pending,1
1063,,20,wrong_format,12345,,43.05,2024/15/01,Failed,0
1002,Bob,64,alice@mail.com,12345,,947.17,2021/15/01,Completed,0
10A5,Bob,40,alice@mail.com,9999999999,,403.41,,Pending,1
1050,Charlie,63,bob@mail.com,9876543210,USA,203.65,10/20/2023,,1
1006,Bob,60,,,,524.99,not_a_date,,1
1020,Alice,64,alice@mail.com,12345,,102.47,2024/15/01,Completed,1
1072,Eve,62,alice@mail.com,9999999999,,756.57,10/20/2023,Completed,1
1038,Eve,35,wrong_format,12345,UK,562.4,10/20/2023,Pending,0
1017,David,55,user@domain,,USA,759.91,2024/15/01,,0
1003,,52,bob@mail.com,,,319.23,not_a_date,Completed,1
